index,question,generated_sql,first_value,sql_gen_time(s),success,res_count,error
11,帮我查询在2020年12月31日，代码为007678的基金前20大重仓股票中属于中信二级照明电工及其他行业的平均市值是多少？小数点后保留不超过3位。,"SELECT ROUND(AVG(""市值""), 3) AS ""平均市值""
FROM (
    SELECT ""市值""
    FROM ""基金股票持仓明细表"" t1
    JOIN ""A股公司行业划分表"" t2 
        ON t1.""股票代码"" = t2.""股票代码"" 
        AND strftime('%Y-%m-%d', t1.""持仓日期"") = strftime('%Y-%m-%d', t2.""交易日期"")
    WHERE t1.""基金代码"" = '007678'
      AND strftime('%Y-%m-%d', t1.""持仓日期"") = '2020-12-31'
      AND t2.""二级行业名称"" = '照明电工及其他'
      AND t1.""第N大重仓股"" <= 20
    ORDER BY t1.""第N大重仓股"" ASC
) sub;",{'平均市值': None},1.266,1,1,
12,"在20210630的年报(含半年报)中，华夏中债1-3年政策性金融债指数C基金的债券持仓,其持有最大仓位的债券类型是什么?","SELECT ""债券类型""
FROM ""基金债券持仓明细表""
WHERE ""基金简称"" = '华夏中债1-3年政策性金融债指数C'
  AND ""持仓日期"" = '20210630'
  AND ""报告类型"" IN ('年报', '半年报')
ORDER BY ""持债市值"" DESC
LIMIT 1;",NO_DATA,1.138,1,0,
13,我想知道兴全磐稳增利债券C基金在20200930的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT t2.""一级行业名称""
FROM ""基金可转债持仓明细表"" t1
JOIN ""A股公司行业划分表"" t2 ON t1.""对应股票代码"" = t2.""股票代码"" AND t1.""持仓日期"" = t2.""交易日期""
WHERE t1.""基金简称"" = '兴全磐稳增利债券C'
  AND t1.""持仓日期"" = '20200930'
  AND t1.""报告类型"" = '季报'
GROUP BY t2.""一级行业名称""
ORDER BY SUM(t1.""市值"") / (SELECT SUM(""市值"") FROM ""基金可转债持仓明细表"" WHERE ""基金简称"" = '兴全磐稳增利债券C' AND ""持仓日期"" = '20200930' AND ""报告类型"" = '季报') DESC
LIMIT 1;",{'一级行业名称': '银行'},1.346,1,1,
14,"请查询：2020年12月年报(含半年报),持有20平安银行CD073且是前10大重仓股的基金有几个？","SELECT COUNT(DISTINCT fsh.""基金代码"") 
FROM (
    SELECT ""基金代码"" FROM ""基金股票持仓明细表"" 
    WHERE ""报告类型"" = '年报(含半年报)' 
      AND ""股票名称"" = '20平安银行CD073' 
      AND ""第N大重仓股"" <= 10
) AS fsh;","{'COUNT(DISTINCT fsh.""基金代码"")': 0}",0.955,1,1,
15,请列出汇添富基金管理股份有限公司在2020年成立并且托管人为中国农业银行股份有限公司的所有基金的基金托管费率的平均数。,"SELECT AVG(""托管费率"") 
FROM ""基金基本信息表"" 
WHERE ""管理人"" = '汇添富基金管理股份有限公司' 
  AND strftime('%Y', substr(""成立日期"", 1, 4) || '-' || substr(""成立日期"", 5, 2) || '-' || substr(""成立日期"", 7, 2)) = '2020' 
  AND ""托管人"" = '中国农业银行股份有限公司';","{'AVG(""托管费率"")': 0.0011666666666666668}",0.903,1,1,
16,在20201022，按照中信行业分类的行业划分标准，哪个一级行业的A股公司数量最多？,"SELECT ""一级行业名称""
FROM ""A股公司行业划分表""
WHERE ""行业划分标准"" = '中信行业分类' AND ""交易日期"" = 20201022
GROUP BY ""一级行业名称""
ORDER BY COUNT(*) DESC
LIMIT 1;",{'一级行业名称': '机械'},0.761,1,1,
17,请查询在2019年度，002093股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) 
FROM A股票日行情表 
WHERE ""股票代码"" = '002093' 
  AND strftime('%Y', ""交易日"", 'unixepoch', 'localtime') = '2019' 
  AND (""收盘价(元)"" / ""昨收盘(元)"" - 1) >= 0.098;",{'COUNT(*)': 0},0.927,1,1,
18,请查询：在20190121，属于申万二级水泥制造行业的A股股票，它们的平均成交金额是多少？小数点后保留不超过5位。,"SELECT ROUND(AVG(""成交金额(元)""), 5) AS avg_amount
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" b
  ON a.""股票代码"" = b.""股票代码"" AND a.""交易日"" = b.""交易日期""
WHERE a.""交易日"" = '20190121'
  AND b.""二级行业名称"" = '水泥制造';",{'avg_amount': 132516957.35294},0.975,1,1,
19,在2019年报中，东方红睿华沪港深灵活配置混合(LOF)A基金第六大重仓股的代码和股票名称是什么？,"SELECT ""股票代码"", ""股票名称""
FROM ""基金股票持仓明细表""
WHERE ""基金简称"" = '东方红睿华沪港深灵活配置混合(LOF)A'
  AND ""报告类型"" = '年报'
  AND SUBSTR(""持仓日期"", 1, 4) = '2019'
  AND ""第N大重仓股"" = 6;",NO_DATA,0.857,1,0,
20,我想知道浦银安盛双债增强债券C基金在20200331的季报中，其可转债持仓占比最大的是哪个行业？用申万一级行业来统计。,"SELECT ""一级行业名称""
FROM (
    SELECT ""A股公司行业划分表"".""一级行业名称"", SUM(t1.""市值"") AS total_value
    FROM ""基金可转债持仓明细表"" t1
    JOIN ""A股公司行业划分表"" 
        ON t1.""对应股票代码"" = ""A股公司行业划分表"".""股票代码""
        AND t1.""持仓日期"" = ""A股公司行业划分表"".""交易日期""
    JOIN ""基金基本信息表"" t2
        ON t1.""基金代码"" = t2.""基金代码""
    WHERE t2.""基金简称"" = '浦银安盛双债增强债券C'
      AND t1.""持仓日期"" = '20200331'
      AND t1.""报告类型"" = '季报'
    GROUP BY ""A股公司行业划分表"".""一级行业名称""
    ORDER BY total_value DESC
    LIMIT 1
);",NO_DATA,1.34,1,0,
21,我想知道国泰金鹿混合在2020年Q1的季报中，该基金的第2大重仓股的代码是什么?,"SELECT ""股票代码"" 
FROM ""基金股票持仓明细表"" 
WHERE ""基金简称"" = '国泰金鹿混合' 
  AND ""报告类型"" = '季报' 
  AND strftime('%Y', ""持仓日期"") = '2020' 
  AND CAST(strftime('%m', ""持仓日期"") AS INTEGER) BETWEEN 1 AND 3 
  AND ""第N大重仓股"" = 2;",NO_DATA,0.913,1,0,
22,嘉实基金管理有限公司管理的其他型产品的数量有多少?,"SELECT COUNT(*) 
FROM 基金基本信息表 
WHERE 管理人 = '嘉实基金管理有限公司' AND 基金类型 = '其他型';",{'COUNT(*)': 1},1.448,1,1,
23,20210304日，一级行业为非银金融的股票的成交量合计是多少？取整。,"SELECT SUM(""成交量(股)"") AS total_volume
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" b
  ON a.""股票代码"" = b.""股票代码""
  AND a.""交易日"" >= b.""交易日期""
  AND (b.""交易日期"" = (SELECT MAX(""交易日期"") FROM ""A股公司行业划分表"" WHERE ""股票代码"" = a.""股票代码"" AND ""交易日期"" <= a.""交易日""))
WHERE a.""交易日"" = 20210304
  AND b.""一级行业名称"" = '非银金融';",ERROR: 执行超时（5秒）,1.121,0,0,执行超时（5秒）
24,请帮我计算，在20200521，申万行业分类划分的一级行业为采掘行业中，涨跌幅最大股票的股票代码是？涨跌幅是多少？百分数保留两位小数。股票涨跌幅定义为：（收盘价 - 前一日收盘价 / 前一日收盘价）* 100%。,"SELECT 
    a.""股票代码"",
    printf('%.2f', ((a.""收盘价(元)"" - a.""昨收盘(元)"" ) / a.""昨收盘(元)"") * 100) AS ""涨跌幅""
FROM 
    ""A股票日行情表"" a
JOIN 
    ""A股公司行业划分表"" b
ON 
    a.""股票代码"" = b.""股票代码"" AND b.""交易日期"" = a.""交易日""
WHERE 
    a.""交易日"" = '20200521'
    AND b.""一级行业名称"" = '采掘'
    AND a.""昨收盘(元)"" <> 0
ORDER BY 
    ((a.""收盘价(元)"" - a.""昨收盘(元)"") / a.""昨收盘(元)"") DESC
LIMIT 1;","{'股票代码': '000655', '涨跌幅': '4.81'}",1.534,1,1,
25,我想知道在20210630的季报里，嘉实中证央企创新驱动ETF联接C投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT a.""一级行业名称""
FROM ""基金股票持仓明细表"" f
JOIN ""A股公司行业划分表"" a ON f.""股票代码"" = a.""股票代码""
WHERE f.""基金简称"" = '嘉实中证央企创新驱动ETF联接C'
  AND f.""报告类型"" = '季报'
  AND f.""持仓日期"" = '20210630'
  AND a.""交易日期"" <= '20210630'
ORDER BY a.""一级行业名称"";",ERROR: 执行超时（5秒）,0.962,0,0,执行超时（5秒）
26,易方达恒盛3个月定期开放混合基金在20200331的季报里，前三大持仓占比的债券名称是什么?,"SELECT ""债券名称""
FROM (
    SELECT ""债券名称"", ""持债市值占基金资产净值比"", ""第N大重仓股""
    FROM ""基金债券持仓明细表""
    WHERE ""基金简称"" = '易方达恒盛3个月定期开放混合'
      AND ""持仓日期"" = '20200331'
      AND ""报告类型"" = '季度报告'
    UNION ALL
    SELECT ""债券名称"", ""市值占基金资产净值比"", ""第N大重仓股""
    FROM ""基金可转债持仓明细表""
    WHERE ""基金简称"" = '易方达恒盛3个月定期开放混合'
      AND ""持仓日期"" = '20200331'
      AND ""报告类型"" = '季度报告'
) AS combined
ORDER BY ""持债市值占基金资产净值比"" DESC
LIMIT 3;",NO_DATA,1.437,1,0,
27,我想知道在20211231的季报里，鹏扬添利增强债券A投资的股票分别是哪些申万一级行业？,"SELECT DISTINCT a.""一级行业名称""
FROM ""A股公司行业划分表"" a
JOIN ""基金股票持仓明细表"" f ON a.""股票代码"" = f.""股票代码""
WHERE f.""基金简称"" = '鹏扬添利增强债券A'
  AND f.""持仓日期"" = '20211231'
  AND f.""报告类型"" = '季报';",ERROR: 执行超时（5秒）,0.968,0,0,执行超时（5秒）
28,"请查询：2021年12月年报(含半年报),持有20铜陵有色MTN001且是前10大重仓股的基金有几个？","SELECT COUNT(DISTINCT 基金代码) 
FROM 基金股票持仓明细表 
WHERE ""报告类型"" IN ('年报(含半年报)') 
  AND ""第N大重仓股"" <= 10 
  AND 股票代码 = '000630';",{'COUNT(DISTINCT 基金代码)': 8},1.0,1,1,
29,在2020年7月10日，使用中信行业分类标准，股票代码603801是属于哪个一级行业的?,"SELECT ""一级行业名称""
FROM ""A股公司行业划分表""
WHERE ""股票代码"" = '603801'
  AND ""行业划分标准"" = '中信行业分类'
  AND ""交易日期"" = '20200710';",{'一级行业名称': '轻工制造'},0.745,1,1,
30,"请查询：2021年12月年报(含半年报),持有17扬城建MTN001且是前10大重仓股的基金有几个？","SELECT COUNT(*) 
FROM (
    SELECT DISTINCT 基金代码
    FROM 基金股票持仓明细表
    WHERE ""报告类型"" = '年报(含半年报)' 
      AND ""第N大重仓股"" <= 10
    UNION
    SELECT DISTINCT 基金代码
    FROM 基金债券持仓明细表
    WHERE ""报告类型"" = '年报(含半年报)' 
      AND ""第N大重仓股"" <= 10
      AND 债券名称 = '17扬城建MTN001'
    UNION
    SELECT DISTINCT 基金代码
    FROM 基金可转债持仓明细表
    WHERE ""报告类型"" = '年报(含半年报)' 
      AND ""第N大重仓股"" <= 10
      AND 债券名称 = '17扬城建MTN001'
) AS qualified_funds;",{'COUNT(*)': 1858},1.29,1,1,
31,请帮我查询在截止2020-12-31的报告期间，基金总份额降低的基金数量是多少？,"SELECT COUNT(*) 
FROM 基金规模变动表 
WHERE ""截止日期"" = '2020-12-31' 
  AND (""报告期期末基金总份额"" < ""报告期期初基金总份额"");",{'COUNT(*)': 0},0.75,1,1,
32,"我想了解一下长城基金管理有限公司2020年成立的债券型基金,其管理费率的平均值是多少?请四舍五入保留小数点两位。","SELECT ROUND(AVG(""管理费率""), 2) 
FROM ""基金基本信息表"" 
WHERE ""管理人"" = '长城基金管理有限公司' 
  AND strftime('%Y', ""成立日期"") = '2020' 
  AND ""基金类型"" = '债券型';","{'ROUND(AVG(""管理费率""), 2)': None}",0.847,1,1,
33,我想知道申万菱信量化对冲策略灵活配置混合基金在20211231的年报(含半年报)中，其可转债持仓占比最大的是哪个行业？用中信一级行业来统计。,"SELECT ""一级行业名称""
FROM (
    SELECT 
        i.""一级行业名称"",
        SUM(t.""市值"") AS total_market_value
    FROM ""基金可转债持仓明细表"" t
    JOIN ""A股公司行业划分表"" i 
        ON t.""对应股票代码"" = i.""股票代码"" 
        AND t.""持仓日期"" = i.""交易日期""
    WHERE 
        t.""基金简称"" = '申万菱信量化对冲策略灵活配置混合' 
        AND t.""持仓日期"" = '20211231'
        AND t.""报告类型"" IN ('年报', '半年报')
        AND i.""行业划分标准"" = '中信一级'
    GROUP BY i.""一级行业名称""
    ORDER BY total_market_value DESC
    LIMIT 1
);",NO_DATA,1.26,1,0,
34,"请帮我查询下在2020年, 农银汇理基金管理有限公司管理的债券型基金中，持有过同业存单的基金有多少只？","SELECT COUNT(*) 
FROM 基金债券持仓明细表 tb 
JOIN 基金基本信息表 fi 
  ON tb.""基金代码"" = fi.""基金代码"" 
WHERE fi.""管理人"" = '农银汇理基金管理有限公司' 
  AND fi.""基金类型"" = '债券型' 
  AND EXISTS (
    SELECT 1 
    FROM 基金债券持仓明细表 subtb 
    WHERE subtb.""基金代码"" = tb.""基金代码"" 
      AND subtb.""债券名称"" LIKE '%同业存单%' 
      AND strftime('%Y', subtb.""持仓日期"") = '2020'
  ) 
  AND strftime('%Y', tb.""持仓日期"") = '2020';",{'COUNT(*)': 0},1.239,1,1,
35,2021年二季度，有多少家基金发生了净赎回?总共赎回了多少份额?记得给我四舍五入到小数点后两位哦。,"SELECT 
    COUNT(*) AS 净赎回基金家数,
    ROUND(SUM(""报告期基金总赎回份额"" - ""报告期基金总申购份额""), 2) AS 总净赎回份额
FROM 基金规模变动表
WHERE 
    ""定期报告所属年度"" = 2021 
    AND 
    (
        (""报告期基金总赎回份额"" - ""报告期基金总申购份额"") < 0 
        OR (""报告期基金总赎回份额"" > ""报告期基金总申购份额"")
    )
    AND 
    ""报告类型"" IN ('中期报告', '季度报告')
    AND 
    ""截止日期"" BETWEEN '2021-04-01' AND '2021-06-30';","{'净赎回基金家数': 0, '总净赎回份额': None}",1.334,1,1,
36,"帮我算一下在20190408,代码为00326的港股日价格振幅是多少，小数点后保留不超过3位。","SELECT ROUND((CAST(""最高价(元)"" AS REAL) - CAST(""最低价(元)"" AS REAL)) / CAST(""昨收盘(元)"" AS REAL) * 100, 3) AS ""日价格振幅""
FROM ""港股票日行情表""
WHERE ""股票代码"" = '00326' AND ""交易日"" = '20190408';",{'日价格振幅': 3.39},0.92,1,1,
37,在2020年5月2日，使用中信行业分类标准，股票代码600483是属于哪个一级行业的?,"SELECT ""一级行业名称"" 
FROM ""A股公司行业划分表""
WHERE ""股票代码"" = '600483'
  AND ""行业划分标准"" = '中信行业分类'
  AND ""交易日期"" <= 20200502
ORDER BY ""交易日期"" DESC
LIMIT 1;",{'一级行业名称': '电力设备及新能源'},0.873,1,1,
38,我想知道在2019年，金信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(*) 
FROM (
    SELECT f.基金代码
    FROM 基金规模变动表 f
    JOIN 基金基本信息表 b ON f.基金代码 = b.基金代码
    WHERE b.管理人 = '金信基金管理有限公司'
      AND f.定期报告所属年度 = 2019
      AND f.报告类型 IN ('年度报告', '中期报告', '季度报告')
    GROUP BY f.基金代码
    HAVING MAX(f.公告日期) IS NOT NULL
) AS latest_reports
JOIN (
    SELECT 基金代码, MAX(公告日期) AS max_date
    FROM 基金规模变动表
    WHERE 定期报告所属年度 = 2019
    GROUP BY 基金代码
) latest ON f.基金代码 = latest.基金代码 AND f.公告日期 = latest.max_date
WHERE f.报告期期初基金总份额 < f.报告期期末基金总份额;",ERROR: no such column: f.报告期期初基金总份额,1.527,0,0,no such column: f.报告期期初基金总份额
39,请查询在2021年度，688728股票涨停天数？   解释：（收盘价/昨日收盘价-1）》=9.8% 视作涨停,"SELECT COUNT(*) AS ""涨停天数""
FROM ""A股票日行情表""
WHERE ""股票代码"" = '688728'
  AND strftime('%Y', substr(""交易日"", 1, 4) || '-' || substr(""交易日"", 5, 2) || '-' || substr(""交易日"", 7, 2)) = '2021'
  AND (""收盘价(元)"" / ""昨收盘(元)"" - 1) >= 0.098;",{'涨停天数': 2},0.947,1,1,
40,我想知道在2021年，光大保德信基金管理有限公司已发行的基金中，有多少只基金报告期期初基金总份额小于报告期期末基金总份额(使用每只基金当年最晚的定期报告数据计算)？,"SELECT COUNT(*) 
FROM (
    SELECT fs.""基金代码""
    FROM ""基金基本信息表"" fb
    JOIN ""基金规模变动表"" fs ON fb.""基金代码"" = fs.""基金代码""
    WHERE fb.""管理人"" = '光大保德信基金管理有限公司'
      AND fs.""定期报告所属年度"" = 2021
      AND fs.""报告类型"" IN ('年报', '半年报', '季报')
      AND fs.""截止日期"" = (
          SELECT MAX(fs2.""截止日期"")
          FROM ""基金规模变动表"" fs2
          WHERE fs2.""基金代码"" = fs.""基金代码""
            AND fs2.""定期报告所属年度"" = 2021
            AND fs2.""报告类型"" IN ('年报', '半年报', '季报')
      )
    GROUP BY fs.""基金代码""
    HAVING fs.""报告期期末基金总份额"" > fs.""报告期期初基金总份额""
) t;",{'COUNT(*)': 0},1.36,1,1,
41,2020年中期报告里，国泰基金管理有限公司管理的基金中，机构投资者持有份额比个人投资者多的基金有多少只?,"SELECT COUNT(*) 
FROM 基金份额持有人结构表 AS t1
JOIN 基金基本信息表 AS t2 ON t1.""基金代码"" = t2.""基金代码""
WHERE t2.""管理人"" = '国泰基金管理有限公司'
  AND t1.""报告类型"" = '中期报告'
  AND t1.""定期报告所属年度"" = 2020
  AND t1.""机构投资者持有的基金份额"" > t1.""个人投资者持有的基金份额"";",{'COUNT(*)': 0},0.995,1,1,
42,请帮我查询在截止2021-03-31的基金定期报告中，基金总赎回份额为零的基金有几个？,"SELECT COUNT(*)  
FROM ""基金规模变动表""  
WHERE ""截止日期"" = '2021-03-31'  
  AND ""报告类型"" = '定期报告'  
  AND ""报告期基金总赎回份额"" = 0;",{'COUNT(*)': 0},0.764,1,1,
43,20210930日，一级行业为机械的股票的成交金额合计是多少？取整。,"SELECT ROUND(SUM(a.""成交金额(元)"")) 
FROM ""A股票日行情表"" a
JOIN ""A股公司行业划分表"" h 
  ON a.""股票代码"" = h.""股票代码"" 
  AND a.""交易日"" = h.""交易日期""
WHERE a.""交易日"" = '20210930' 
  AND h.""一级行业名称"" = '机械';","{'ROUND(SUM(a.""成交金额(元)""))': 53934559056.0}",0.934,1,1,
44,请查询在20200623日期，中信行业分类下汽车一级行业中，当日收盘价波动最大（即最高价与最低价之差最大）的股票代码是什么？,"SELECT a.""股票代码""
FROM ""A股公司行业划分表"" a
JOIN ""A股票日行情表"" r ON a.""股票代码"" = r.""股票代码""
WHERE a.""行业划分标准"" = '中信'
  AND a.""一级行业名称"" = '汽车'
  AND a.""交易日期"" = '20200623'
  AND r.""交易日"" = '20200623'
ORDER BY (r.""最高价(元)"" - r.""最低价(元)"") DESC
LIMIT 1;",NO_DATA,0.962,1,0,
45,我想知道东方阿尔法优势产业混合C基金，在2021年年度报告中，前10大重仓股中，有多少只股票在报告期内取得正收益。,"SELECT COUNT(*) 
FROM (
    SELECT DISTINCT s.""股票代码""
    FROM ""基金股票持仓明细表"" s
    JOIN ""A股票日行情表"" a1 ON s.""股票代码"" = a1.""股票代码""
    JOIN ""A股票日行情表"" a2 ON s.""股票代码"" = a2.""股票代码"" AND a2.""交易日"" > a1.""交易日""
    WHERE s.""基金简称"" = '东方阿尔法优势产业混合C'
      AND s.""报告类型"" = '年度报告'
      AND strftime('%Y', s.""持仓日期"") = '2021'
      AND s.""第N大重仓股"" <= 10
      AND a1.""交易日"" = (
          SELECT MIN(""交易日"") 
          FROM ""A股票日行情表"" 
          WHERE ""股票代码"" = s.""股票代码"" 
            AND ""交易日"" >= substr(s.""持仓日期"", 1, 4) || '-01-01'
            AND ""交易日"" <= substr(s.""持仓日期"", 1, 4) || '-12-31'
      )
      AND a2.""交易日"" = (
          SELECT MAX(""交易日"") 
          FROM ""A股票日行情表"" 
          WHERE ""股票代码"" = s.""股票代码"" 
            AND ""交易日"" >= substr(s.""持仓日期"", 1, 4) || '-01-01'
            AND ""交易日"" <= substr(s.""持仓日期"", 1, 4) || '-12-31'
      )
      AND a2.""收盘价(元)"" > a1.""收盘价(元)""
) t;",{'COUNT(*)': 0},1.961,1,1,
46,请列出华宝基金管理有限公司在2019年成立并且托管人为中国民生银行股份有限公司的所有基金的基金托管费率的平均数。,"SELECT AVG(""托管费率"") 
FROM ""基金基本信息表"" 
WHERE ""管理人"" = '华宝基金管理有限公司' 
  AND strftime('%Y', substr(""成立日期"", 1, 4) || '-' || substr(""成立日期"", 5, 2) || '-' || substr(""成立日期"", 7, 2)) = '2019' 
  AND ""托管人"" = '中国民生银行股份有限公司';","{'AVG(""托管费率"")': 0.001}",0.925,1,1,
47,请问2019年二季度有多少家基金是净申购?它们的净申购份额加起来是多少?请四舍五入保留小数点两位。,"SELECT 
    COUNT(*) AS 基金数量,
    ROUND(SUM(""报告期基金总申购份额"" - ""报告期基金总赎回份额""), 2) AS 净申购总额
FROM 基金规模变动表
WHERE 
    ""定期报告所属年度"" = 2019 
    AND (
        (""报告期基金总申购份额"" - ""报告期基金总赎回份额"") > 0
    );","{'基金数量': 1101, '净申购总额': 287703500329.33}",0.994,1,1,
